"Sp","Rep","Trtmt","HDate","ExpTray","Tray","Row","Col","Survival","Height","Branches","Lvs","WetWt","DryWt","WetLWt","DryLWt","Notes","WaterWt","LWaterWt","Analysis","X","X.1","X.2","logHeight","sqrtHeight","rankHeight","LogBranches","sqrtBranches","rankBranches","LogLvs","sqrtLvs","rankLvs","LogWetWt","sqrtWetWt","rankWetWt","LogDryWt","sqrtDryWt","rankDryWt","LogWetLWt","sqrtWetLWt","rankWetLWt","LogDryLWt","sqrtDryLWt","rankDryLWt","LogWaterWt","sqrtWaterWt","rankWaterWt","LogLWaterWt","sqrtLWaterWt","rankLWaterWt","WatC","LogWatC","sqrtWatC","rankWatC","LWatC","LogLWatC","sqrtLWatC","rankLWatC"
"Basil","1","0","9-Aug-16","1","1","1","1","1",21.3,10,29,4.31,0.41,2.83,0.19,"",3.9,2.64,3,NA,NA,NA,1.34830486304816,4.6690470119715,233,1.04139268515823,3.24037034920393,705,1.47712125471966,5.43139024560011,768,0.725094521081469,2.19317121994613,297.5,0.14921911265538,0.953939201416946,342.5,0.583198773968623,1.82482875908947,356,0.0755469613925307,0.830662386291807,437.5,0.690196080028514,2.0976176963403,310.5,0.561101383649056,1.77200451466693,373,90.4872389791183,1.96136052108888,9.53872313148455,604,93.2862190812721,1.97444822068726,9.68432853022201,657
"Basil","1","0","9-Aug-16","1","1","1","4","1",16.3,6,10,2.96,0.23,1.82,0.11,"",2.73,1.71,3,NA,NA,NA,1.2380461031288,4.09878030638384,81.5,0.845098040014257,2.54950975679639,173.5,1.04139268515823,3.24037034920393,90.5,0.597695185925512,1.86010752377383,100.5,0.0899051114393979,0.854400374531753,192.5,0.450249108319361,1.52315462117278,109.5,0.0453229787866575,0.781024967590665,343,0.571708831808688,1.79722007556114,116.5,0.432969290874406,1.48660687473185,134,92.2297297297297,1.96955442521562,9.62962770462751,761,93.956043956044,1.97752261281417,9.71884992970073,716
"Basil","1","0","9-Aug-16","1","1","2","1","1",28.8,12,41,7.75,0.56,4.9,0.33,"",7.19,4.57,3,NA,NA,NA,1.47421626407626,5.41294744108974,546,1.11394335230684,3.53553390593274,1006.5,1.6232492903979,6.44204936336256,1144.5,0.942008053022313,2.87228132326901,559,0.193124598354462,1.0295630140987,494.5,0.770852011642144,2.32379000772445,697.5,0.123851640967086,0.91104335791443,628.5,0.913283901760419,2.77308492477241,575.5,0.745855195173729,2.25166604983954,690.5,92.7741935483871,1.97208333793616,9.65785657112318,801,93.265306122449,1.97435188221803,9.68324873802429,655
"Basil","1","0","9-Aug-16","1","1","2","2","1",12.3,4,8,1.93,0.03,1.26,0.001,"",1.9,1.259,3,NA,NA,NA,1.12385164096709,3.57770876399966,26.5,0.698970004336019,2.12132034355964,75.5,0.954242509439325,2.91547594742265,29.5,0.466867620354109,1.55884572681199,38,0.0128372247051722,0.728010988928052,92,0.354108439147401,1.32664991614216,45.5,0.000434077479318593,0.707813534767456,115.5,0.462397997898956,1.54919333848297,46,0.353916230920363,1.32627297341083,57.5,98.4455958549223,1.99758555429547,9.94714008421125,1141,99.9206349206349,2.00397997412517,10.0210096757081,1060.5
"Basil","1","0","9-Aug-16","1","1","2","3","1",31.2,12,41,13.08,1.54,7.63,0.86,"",11.54,6.77,3,NA,NA,NA,1.50785587169583,5.6302753041037,628.5,1.11394335230684,3.53553390593274,1006.5,1.6232492903979,6.44204936336256,1144.5,1.14860265480609,3.68510515453766,1041,0.404833716619938,1.42828568570857,1131.5,0.93601079571521,2.85131548587665,1086,0.269512944217916,1.16619037896906,1175,1.0982975364947,3.46987031457949,1006,0.890421018800914,2.69629375254255,1054,88.2262996941896,1.95049288272356,9.4194638750934,385,88.7287024901704,1.95293138773946,9.44609456284291,342
"Basil","1","0","9-Aug-16","1","1","2","4","1",17.3,8,16,2.89,0.31,1.83,0.18,"",2.58,1.65,3,NA,NA,NA,1.26245108973043,4.2190046219458,99,0.954242509439325,2.91547594742265,388,1.23044892137827,4.06201920231798,396,0.589949601325708,1.8411952639522,96,0.117271295655764,0.9,248,0.45178643552429,1.52643375224737,112.5,0.0718820073061254,0.824621125123532,423,0.553883026643874,1.75499287747842,100,0.423245873936808,1.46628782986152,122.5,89.2733564013841,1.95555959001155,9.47488028427716,478,90.1639344262295,1.95982306006613,9.52176109898949,423
"Basil","1","0","9-Aug-16","1","1","3","2","1",26.2,14,40,8.75,1.28,5.72,0.84,"",7.47,4.88,3,NA,NA,NA,1.4345689040342,5.16720427310553,459.5,1.17609125905568,3.80788655293195,1176.5,1.61278385671974,6.36396103067893,1126.5,0.989004615698537,3.04138126514911,633.5,0.357934847000454,1.33416640641263,1023,0.827369273053825,2.49399278266799,829,0.264817823009536,1.15758369027902,1161,0.927883410330707,2.82311884269862,599,0.769377326076139,2.31948270094864,760,85.3714285714286,1.93637010282754,9.26668379580465,202,85.3146853146853,1.93608469152699,9.26362160899749,199
"Basil","1","0","9-Aug-16","1","1","3","3","1",3,2,12,0.67,0.001,0.39,0.001,"",0.669,0.389,3,NA,NA,NA,0.602059991327962,1.87082869338697,4,0.477121254719662,1.58113883008419,36,1.11394335230684,3.53553390593274,216.5,0.222716471147583,1.0816653826392,13,0.000434077479318593,0.707813534767456,42.5,0.143014800254095,0.94339811320566,16,0.000434077479318593,0.707813534767456,115.5,0.222456336679247,1.08120303366204,13,0.142702245737616,0.942867965305853,17,99.8507462686567,2.00367911622415,10.0175219624744,1182,99.7435897435898,2.00321742178531,10.0121720792039,1035
"Basil","1","0","9-Aug-16","1","1","3","4","1",22.8,10,16,5.59,0.65,3.37,0.35,"",4.94,3.02,3,NA,NA,NA,1.37657695705651,4.82700735445887,313.5,1.04139268515823,3.24037034920393,705,1.23044892137827,4.06201920231798,396,0.81888541459401,2.46779253585061,415,0.217483944213906,1.07238052947636,580.5,0.640481436970422,1.9672315572906,448,0.130333768495006,0.921954445729289,656,0.773786444981194,2.33238075793812,415,0.60422605308447,1.87616630392937,449,88.3720930232558,1.95120192888476,9.42719963845339,393,89.6142433234421,1.9571964682131,9.49285222277489,396
"Basil","1","0","9-Aug-16","1","1","4","1","1",5.4,4,12,1.48,0.05,0.97,0.001,"",1.43,0.969,3,NA,NA,NA,0.806179973983887,2.42899156029822,10,0.698970004336019,2.12132034355964,75.5,1.11394335230684,3.53553390593274,216.5,0.394451680826216,1.40712472794703,24.5,0.0211892990699381,0.741619848709566,104.5,0.294466226161593,1.21243556529821,36,0.000434077479318593,0.707813534767456,115.5,0.385606273598312,1.38924439894498,24,0.294245716138118,1.21202310209005,37,96.6216216216216,1.98954601757447,9.85503026994954,1068,99.8969072164948,2.00387785405261,10.0198257078901,1054
"Basil","1","0","9-Aug-16","1","1","4","2","1",14.5,6,10,3.58,0.36,2.42,0.23,"",3.22,2.19,3,NA,NA,NA,1.19033169817029,3.87298334620742,43,0.845098040014257,2.54950975679639,173.5,1.04139268515823,3.24037034920393,90.5,0.660865478003869,2.01990098767242,180,0.133538908370217,0.92736184954957,296,0.534026106056135,1.70880074906351,250.5,0.0899051114393979,0.854400374531753,491,0.625312450961674,1.92873015219859,190.5,0.503790683057181,1.64012194668567,263,89.9441340782123,1.95877469218872,9.51021209428119,553,90.495867768595,1.96140148045091,9.53917542393445,450
"Basil","1","0","9-Aug-16","1","1","4","3","1",20.4,9,20,4.13,0.38,2.49,0.18,"",3.75,2.31,3,NA,NA,NA,1.33041377334919,4.57165178026498,204,1,3.08220700148449,528.5,1.32221929473392,4.52769256906871,493,0.710117365111816,2.151743479135,271,0.139879086401236,0.938083151964686,309,0.54282542695918,1.72916164657906,276,0.0718820073061254,0.824621125123532,423,0.676693609624867,2.06155281280883,292.5,0.519827993775719,1.67630546142402,298,90.7990314769976,1.96283809921416,9.55505266741097,636,92.7710843373494,1.9720689380727,9.65769560181669,623
"Basil","1","0","9-Aug-16","1","1","4","4","1",18.1,8,16,3.39,0.39,2.05,0.2,"",3,1.85,3,NA,NA,NA,1.28103336724773,4.31277173056957,118,0.954242509439325,2.91547594742265,388,1.23044892137827,4.06201920231798,396,0.642464520242121,1.9723082923316,153,0.143014800254095,0.94339811320566,319.5,0.484299839346786,1.59687194226713,161,0.0791812460476248,0.836660026534076,454,0.602059991327962,1.87082869338697,161.5,0.45484486000851,1.53297097167559,167.5,88.4955752212389,1.95180156375721,9.43374661633642,405,90.2439024390244,1.96020385147847,9.52595939730085,429.5
"Basil","1","0","9-Aug-16","1","1","5","1","1",22.6,12,37,7.23,0.96,4.78,0.61,"",6.27,4.17,3,NA,NA,NA,1.37291200297011,4.80624593627917,304.5,1.11394335230684,3.53553390593274,1006.5,1.57978359661681,6.12372435695795,1048,0.91539983521227,2.78028775489157,523,0.292256071356476,1.20830459735946,813.5,0.761927838420529,2.29782505861521,669,0.20682587603185,1.05356537528527,995,0.861534410859038,2.60192236625154,507,0.713490543093943,2.16101827849743,623,86.7219917012448,1.94310848364206,9.3392714759367,272,87.2384937238494,1.94565808586681,9.36688281787753,273
"Basil","1","0","9-Aug-16","1","1","5","2","1",15.1,6,12,5.32,0.19,1.71,0.09,"",5.13,1.62,3,NA,NA,NA,1.20682587603185,3.9496835316263,55,0.845098040014257,2.54950975679639,173.5,1.11394335230684,3.53553390593274,216.5,0.800717078282385,2.41246761636296,394.5,0.0755469613925307,0.830662386291807,172.5,0.432969290874406,1.48660687473185,99.5,0.0374264979406237,0.768114574786861,321,0.787460474518415,2.37276210354093,430,0.418301291319745,1.4560219778561,116,96.4285714285714,1.98868633464222,9.84523089767688,1053,94.7368421052632,1.98107909811065,9.75893652532197,767.5
"Basil","1","0","9-Aug-16","1","1","5","3","1",16.2,8,10,3.96,0.18,1.85,0.06,"",3.78,1.79,3,NA,NA,NA,1.23552844690755,4.08656334834051,78,0.954242509439325,2.91547594742265,388,1.04139268515823,3.24037034920393,90.5,0.695481676490197,2.11187120819429,243.5,0.0718820073061254,0.824621125123532,166,0.45484486000851,1.53297097167559,119,0.0253058652647703,0.748331477354788,289.5,0.679427896612119,2.06881608655772,295.5,0.445604203273598,1.51327459504216,153.5,95.4545454545455,1.98432269874312,9.79563910393525,999,96.7567567567568,1.99014678469462,9.86188403687433,885
"Basil","1","0","9-Aug-16","1","1","5","4","1",18.6,8,12,2.91,0.35,1.89,0.2,"",2.56,1.69,3,NA,NA,NA,1.29225607135648,4.37035467668243,137.5,0.954242509439325,2.91547594742265,388,1.11394335230684,3.53553390593274,216.5,0.592176757395867,1.84661853126194,97,0.130333768495006,0.921954445729289,287,0.460897842756548,1.54596248337403,124,0.0791812460476248,0.836660026534076,454,0.551449997972875,1.74928556845359,99,0.429752280002408,1.47986485869487,129,87.9725085910653,1.94925583572841,9.40598259572413,365,89.4179894179894,1.95625484560492,9.48250965820702,383
"Basil","1","0","9-Aug-16","1","1","6","1","1",10.1,5,9,1.63,0.14,1.18,0.08,"",1.49,1.1,3,NA,NA,NA,1.04532297878666,3.25576411921994,17,0.778151250383644,2.34520787991171,100,1,3.08220700148449,42,0.419955748489758,1.45945195193264,31.5,0.0569048513364726,0.8,147.5,0.338456493604605,1.29614813968157,42,0.0334237554869497,0.761577310586391,308,0.396199347095736,1.41067359796659,27,0.322219294733919,1.26491106406735,47,91.4110429447853,1.96572387169005,9.58702471806479,678,93.2203389830509,1.97414466239642,9.68092655601987,650.5
"Basil","1","0","9-Aug-16","1","1","6","2","1",17.6,10,27,7.19,0.83,4.94,0.59,"",6.36,4.35,3,NA,NA,NA,1.26951294421792,4.25440947723653,113,1.04139268515823,3.24037034920393,705,1.44715803134222,5.24404424085076,702.5,0.913283901760419,2.77308492477241,520,0.262451089730429,1.15325625946708,729.5,0.773786444981194,2.33238075793812,703.5,0.201397124320451,1.04403065089105,973,0.866877814337499,2.61916017074176,512,0.728353782021228,2.20227155455452,651,88.4561891515994,1.9516103932142,9.43165887591358,402,88.0566801619433,1.94966650154951,9.41045589554211,307
